,tag,text
10239,pos,"a good critic should be able to view the film from the "" average joe ( or jane ) "" viewpoint , while still taking into account the artistic integrity behind the film ."
6473,pos,"it's director , barry sonnenfield , is known for "" black humor "" , directing both addams family movies ."
28592,pos,""" john denver died in a plane crash , "" alex grudgingly mutters to himself ."
15745,pos,"in this regard it is symptomatic that shears , who doubts the military logic , is a somehow unpleasant person in the film ."
7919,pos,"that's because , in a nutshell , "" the wedding singer "" is one of the sweetest movies you're ever likely to come across ."
27227,pos,"drawn on the white diamond of the kite is a face that looks at once pained , and at another glance mischievous ."
32028,pos,upon my first viewing i left bawling .
2211,pos,"playing the young francie brady is newcomer eamonn owens and he is , without a doubt , a revelation ."
26389,pos,"however , in a film this exciting and well-produced , a few minor flaws are easily overlooked ."
7662,pos,"the fact that each character is so different from the others yet so similar shows that there are universal pains that all classes , races , and genders suffer ."
30553,pos,"salieri feels envy , and jealousy , but at the same time is fascinated with mozart's brilliance and ingenious ."
22552,pos,"he is not a lovable character , but a character who stands out in your mind whenever you think of the film ."
21309,pos,"starring sammo hung , sylvia chang ; directed by mabel cheung ; written by cheung and alex law ; cinematography by bill wong"
23564,pos,"yes , he is initially annoying , but i can admit to laughing over some of his harmless , goofy antics ."
21844,pos,"this film , on the other hand , constantly reminds me that it's only a movie by including situations and phrases that are so uniquely modern american that they seem incredibly out of place and serve to jerk the viewer from the experience ."
6685,pos,"he is a bitter , closed-off man whose only passion is his beekeeping , his granddaughters , and his dead wife ."
15143,pos,"the way people are killed by the ray guns is great , they is a hillarous ( and mildly disturbing scene ) involving a martian lady , a mad general who just wants to nuke the aliens away , ( and ends up getting squashed by an aliens foot ) and a gory finale involving lots of alien heads exploding ."
6632,pos,"luckily , we have ben ramsey's screenplay , a bitingly funny piece of work ."
8576,pos,francis ford coppola .
8657,pos,this three hour movie opens up with a view of singer/guitar player/musician/composer frank zappa rehearsing with his fellow band members .
6849,pos,"r2-d2 and c-3p0 are both what we call "" driods "" , or robots that are of assistance to humans ."
31502,pos,"in these surroundings we find the to-be-weds jan and bess , played by stellan skarsgaard and the remarkable new movie actress emily watson ."
8192,pos,"firstly , wahlberg , although excellent , cannot do highly scenes which require him to be angry ."
30006,pos,romy and michele use their high school yearbook to discuss the caste system at their high school .
30035,pos,day-lewis portrays more mental anguish in his face than one man should be forced to take .
18713,pos,"the film is told from the point of view of henry burton ( adrian lester ) , grandson of a civil rights leader , who is swept away by stanton's ideals and helps to organize the campaign ."
29633,pos,we see the ecstatic cookie stare hopefully at a picture of her husband .
7103,pos,"it broadens its horizons , and when it really moves from the ant colony , it really shows us a whole new world we've never seen before , and it's take on the evolution of bugs is a lot better than the one in "" antz . """
15103,pos,chasing amy and dogma .
26401,pos,"in this case , it is landing the big kahuna ."
11254,pos,"to get mike out of his funk , his friends persistently convince him to get outside , whether it be to a quickie night trip to a seedy vegas casino or a cutthroat hollywood party with the beautiful people or a 50s swing lounge ."
8079,pos,he is hit hard with questions about his voting record .
14072,pos,"although the characters are somewhat typical , the actors maintain control over the material at all time ."
24692,pos,"it implies tougher ones , though : what can be done to combat terrorism without sacrificing justice and freedom ?"
23553,pos,"after we're treated to the famous prologue in the sky , with john williams' thundering score , we meet qui-gon jonn ( liam neeson ) and young obi-wan kenobi ( ewan mcgregor ) , a jedi master and his trainee `padawan' ."
15807,pos,"as it turns out , he not only doesn't take the fall , but he ends up actually killing his opponent ."
6218,pos,charles van doren and herbie stemple were the overnight mega celebrities of their day .
2209,pos,"but it's his wall-to-wall narration as the butcher boy of the title , da brady's son , francis , that makes rea's "" performance "" worth watching , worth listening to ."
25502,pos,"instead of being the scheming , villainous mad scientist we might expect from a character like this he is a bumbling , often sweet mad scientist wannabe ."
31899,pos,"the thing is , beatrice is not overt with her criticisms , but instead gives them in that mothering way which is tantamount to nit-picking and guilt loading ."
16899,pos,"like allen , russell's interests are in the volatile sexual politics of couples and the neurotic obsessions in both pare nts and children ( and everybody , really ) ."
26720,pos,"driving miss daisy is a movie about human nature , aging , prejudice , and a great many other things , but more than anything it's about a relationship : one that spans 25 years , 4 cars , the advent of civil rights , and one gravely important 33 cent can of salmon ."
26385,pos,"my only complaint is that it feels a bit too easy , and perhaps too staged ."
6851,pos,to obi-wan kenobi pleading for help .
11967,pos,"travolta , in fact , is still trying to get out of the vincent vega role ."
20427,pos,"i'll just say that the film takes place in blue bay , a rich little town in florida ."
19151,pos,after more discussion they agree to dispose of the body and cover it up .
24472,pos,"i'll admit , when i trotted off to see this film , the only john woo movie i had seen before was the fairly enjoyable but highly forgetable broken arrow ."
13154,pos,"making the best of her situation , josie stays there and begins making the rounds at the local bars ."
28458,pos,"on my four star scale , i give muriel's wedding three stars ."
23086,pos,"i guess i was hoping for a bit more regarding the whole impervious to pain aspect of his character , but the writers decided to play up the emotional side of his character ."
16144,pos,"i guess it's a credit to jackie chan and the general likeability of the franchise that rush hour 2 could not be ruined even by the nauseating "" comedy "" of chris tucker ."
16405,pos,nah .
7966,pos,"in a very different way , but also using a long single shot , the scene of hortense and cynthia's first meeting in a lonely caf=8a achieves a touching intensity , all the more for their reticence and unspoken feelings ."
28816,pos,"and just as james benefited from the dark sensibilities of henry selick and tim burton , matilda soars on the cock-eyed direction of danny devito ."
14088,pos,"bill pullman plays a man also investigating what happened , along with the sherriff and a rich croc obsessed man , they go out and find what is going on ."
27049,pos,"bridget fonda is around for three discernible reasons : to look sexy in a bikini , to provide a little twisted comedy , and to satisfy tarantino's foot fetish ."
15719,pos,"then again , how can you go wrong with an "" alien "" that likes the ferraris , guns , heavy metal music and sexy girls ? !"
17569,pos,"it's a good story well-told with interesting characters , but it's easy to shrug off once you've left the theater ."
16225,pos,"after that , his career was all downhill ."
7811,pos,those who had problems with his physical appearance will be able to join the rest of us in laughing at allen's intelligent observations of life .
2808,pos,"during the course of the movie , we see both characters evolve as they struggle to meet the challenge of their new emotions ."
20916,pos,"the government people have small parts , as usual , with q ( desmond llewelyn , looking near death , sadly ) getting only one scene ( in a more grouchy mood than usual ) , and m ( judi dench ) , getting more than m usually gets ( i mean , it is judi dench ) ."
7439,pos,"he's by far the most underrated actor due to a lack of popularity , but i'm hoping that will change ."
20885,pos,he got the feeling and he couldn't contain himself .
29022,pos,"thirteen years later , ted still can't get mary out of his mind , and hires a private detective ( dillon ) to find her ."
11093,pos,"the plot is typical horror stuff : sidney prescott ( an impressive neve campbell ) , an attractive young high school student who's mother was killed a year ago tommorrow , is being stalked by a killer who's previously murdered one of her classmates ( casey , naturally ) , and everybody in this small , california town is a suspect , including sidney's boyfriend , billy loomis ."
6573,pos,"aliens is rightfully rated r for violence , gore , language , and terror ."
24812,pos,"it's a fluffy comedy , thoroughly glazed with a sense of innocuous innocence and good cheer , regarding two moral topics -- love and religion -- and how a romantic triangle causes the two to collide head-on ."
20891,pos,"his whole attitude can be summed up with , "" destroy them ! ! ! """
32169,pos,"1984 . wonder-bred high school honours student todd bowden ( renfro ) conducts his own extracurricular investigation of kurt dussander , a nazi war criminal who fearfully fled berlin in the 1960s and was never heard from again ."
3624,pos,"in 1944 , hungary had the last big population of jews within germany's reach , and they became the last target of hitler's "" final solution . """
24023,pos,"there are more than enough characters to love and to hate , and all of the casting is dead-on ."
31294,pos,"in regard to the star wars special edition , and to the other two films of the trilogy which have yet to be released , i'll make this final recommendation : go and see it ."
29465,pos,"i must admit that i was a tad skeptical of "" good will hunting "" , based both on the previews and the first fifteen minutes of the film , in which the main character will hunting ( matt damon ) , an mit janitor in his early twenties , is discovered to be an einstein-level closet genius when he solves two extraordinarily difficult math problems overnight ."
25326,pos,"agent kay selects a particular suspicious worker and takes him away from the other local authorities to discover that he is not an illegal human alien , but a real extra-terrestrial alien ."
2250,pos,i find zero effect to be an immensely funny and witty film .
22763,pos,this can be attributed as much to the amazing special effects as to many of the actor's extensive pre-production training in martial arts .
2524,pos,"think heavenly creatures played largely for laughs , and you'll sort of understand ."
5350,pos,"a beautiful woman ( gretchen mol ) who suddenly appears on the scene may hold the key to the mystery , which might unravel the horrifying truth about his own existence ."
5516,pos,i guess it was just the immense feeling of dread which the film had cast upon us .
9827,pos,but you=92ll ignore these problems as each minute of the movie builds on the previous one .
25125,pos,james garner is the playboy just like in many other movies .
26873,pos,usually it's the evil aliens versus the heroic humans .
10579,pos,"there's a blond co-ed named cece ( sarah michelle gellar , who has now appeared in two of williamson's movies -- this one and i know what you did last summer ) ; sidney's requisite boyfriend , derek ( jerry o'connell ) ; a local newswoman ( laurie metcalf ) ; gale's new cameraman ( duane martin ) ; a british drama teacher ( david warner ) ; and several sorority sisters and would-be sorority sisters ( portia de rossi , rebecca gayheart , elise neal , marisol nichols ) ."
16017,pos,"and judging from many of the women's reactions in the theater to that shot , they have grown a deeper appreciation for bacon ( yeah , right ) ."
29092,pos,the action is pretty intense ( favorite scene : the sandstorm ) and there are a few shocking scenes just to jolt you horror-loving folks as well .
